ano,ubigeo,departamento,provincia,distrito,tipo_municipalidad,serenazgo_2024,serenazgo_2025,p69_2_t,p69_2_m,p69_2_h,tiene_auto_camioneta,p70a_1_1,p70a_1_2,p70a_1_3,tiene_radio,p70a_6_1,p70a_6_2,p70a_6_3,tiene_camaras,p70a_7_1,p70a_7_2,p70a_7_3,p70a_7_4,tiene_central_videovigilancia,p70a_10_1,p70a_10_2,p70a_10_3,tiene_chaleco_antibalas,p70a_13_1,total_intervenciones
2025,010302,AMAZONAS,BONGARA,CHISQUILLA,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,010303,AMAZONAS,BONGARA,CHURUJA,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,010304,AMAZONAS,BONGARA,COROSHA,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,010305,AMAZONAS,BONGARA,CUISPES,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,010306,AMAZONAS,BONGARA,FLORIDA,Distrital,No,Sí,10,0,10,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,11
2025,010307,AMAZONAS,BONGARA,JAZAN,Distrital,Sí,Sí,3,1,2,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,Sí,1,53
2025,010308,AMAZONAS,BONGARA,RECTA,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,010309,AMAZONAS,BONGARA,SAN CARLOS,Distrital,No,No,NA,NA,NA,Sí,3,1,2,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,010310,AMAZONAS,BONGARA,SHIPASBAMBA,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,010311,AMAZONAS,BONGARA,VALERA,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,010312,AMAZONAS,BONGARA,YAMBRASBAMBA,Distrital,No,No,NA,NA,NA,Sí,2,1,1,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,2
2025,010401,AMAZONAS,CONDORCANQUI,NIEVA,Provincial,Sí,Sí,7,0,7,Sí,1,1,0,Sí,10,10,0,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,48
2025,010402,AMAZONAS,CONDORCANQUI,EL CENEPA,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,Sí,5,0,5,0,No,NA,NA,NA,No,NA,0
2025,010403,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,010501,AMAZONAS,LUYA,LAMUD,Provincial,Sí,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,Sí,10,8,2,8,Sí,1,1,0,No,NA,0
2025,010502,AMAZONAS,LUYA,CAMPORREDONDO,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,010503,AMAZONAS,LUYA,COCABAMBA,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,010504,AMAZONAS,LUYA,COLCAMAR,Distrital,No,No,NA,NA,NA,Sí,1,1,0,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,010505,AMAZONAS,LUYA,CONILA,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,Sí,4,4,0,0,No,NA,NA,NA,No,NA,0
2025,010506,AMAZONAS,LUYA,INGUILPATA,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,010507,AMAZONAS,LUYA,LONGUITA,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,010508,AMAZONAS,LUYA,LONYA CHICO,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,Sí,6,6,0,0,No,NA,NA,NA,No,NA,0
2025,010509,AMAZONAS,LUYA,LUYA,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,010510,AMAZONAS,LUYA,LUYA VIEJO,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,010511,AMAZONAS,LUYA,MARIA,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,010512,AMAZONAS,LUYA,OCALLI,Distrital,No,No,NA,NA,NA,Sí,2,2,0,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,010513,AMAZONAS,LUYA,OCUMAL,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,010514,AMAZONAS,LUYA,PISUQUIA,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
2025,010515,AMAZONAS,LUYA,PROVIDENCIA,Distrital,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,No,NA,0
