AÑO,MES,UBIGEO,NOMBDEPTO,NOMBPROV,NOMBDIST,TIPO_VEHICULO,TIPO_UNIDAD,TIPO_VEHICULO_PRIO,TIPO_PROCEDENCIA,ESTADO,AÑOFABRICACION,CANTIDAD
2025,JULIO,60204,CAJAMARCA,CAJABAMBA,SITACOCHA,CAMIONETA,COMISARIA BASICA,CAMIONETA,COMPRA DIRECTA,OPERATIVO,2012,1
2025,JULIO,150103,LIMA METROPOLITANA,LIMA,ATE,CAMIONETA,UNIDAD ADMINISTRATIVA,CAMIONETA,COMPRA DIRECTA,OPERATIVO,2018,1
2025,JULIO,81006,CUSCO,PARURO,OMACHA,CAMIONETA,COMISARIA BASICA,CAMIONETA,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,2009,1
2025,JULIO,200801,PIURA,SECHURA,SECHURA,CAMIONETA,COMISARIA BASICA,CAMIONETA,COMPRA DIRECTA,INOPERATIVO IRRECUPERABLE,2009,2
2025,JULIO,80101,CUSCO,CUSCO,CUSCO,CAMIONETA,UNIDAD ESPECIALIZADA,CAMIONETA,CONVENIO NAS,OPERATIVO,2010,1
2025,JULIO,30104,APURÍMAC,ABANCAY,CURAHUASI,CAMIONETA,COMISARIA BASICA,CAMIONETA,COMPRA DIRECTA,OPERATIVO,2014,1
2025,JULIO,40602,AREQUIPA,CONDESUYOS,ANDARAY,CAMIONETA,COMISARIA BASICA,CAMIONETA,COMPRA DIRECTA,OPERATIVO,2008,1
2025,JULIO,170101,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,MOTOR F/B,UNIDAD ADMINISTRATIVA,OTROS,DONACION,INOPERATIVO IRRECUPERABLE,1980,1
2025,JULIO,10601,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,CAMIONETA,COMISARIA BASICA,CAMIONETA,DONACION,OPERATIVO,2020,1
2025,JULIO,150104,LIMA METROPOLITANA,LIMA,BARRANCO,MOTOACUATICA,UNIDAD ESPECIALIZADA,OTROS,DONACION,INOPERATIVO IRRECUPERABLE,2014,1
2025,JULIO,50101,AYACUCHO,HUAMANGA,AYACUCHO,CAMIONETA,UNIDAD ESPECIALIZADA,CAMIONETA,COMPRA DIRECTA,OPERATIVO,2023,2
2025,JULIO,30101,APURÍMAC,ABANCAY,ABANCAY,CAMIONETA,COMISARIA BASICA,CAMIONETA,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,2016,1
2025,JULIO,150115,LIMA METROPOLITANA,LIMA,LA VICTORIA,CAMIONETA,UNIDAD ESPECIALIZADA,CAMIONETA,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,2014,1
2025,JULIO,50801,AYACUCHO,PAUCAR DEL SARA SARA,PAUSA,CAMIONETA,COMISARIA BASICA,CAMIONETA,COMPRA DIRECTA,INOPERATIVO IRRECUPERABLE,2008,1
2025,JULIO,210101,PUNO,PUNO,PUNO,MOTOCICLETA,UNIDAD ESPECIALIZADA,MOTOCICLETA,COMPRA DIRECTA,OPERATIVO,2017,12
2025,JULIO,130101,LA LIBERTAD,TRUJILLO,TRUJILLO,MOTOCICLETA,COMISARIA BASICA,MOTOCICLETA,DONACION,OPERATIVO,2016,1
2025,JULIO,150101,LIMA METROPOLITANA,LIMA,LIMA,AUTO,UNIDAD ESPECIALIZADA,AUTO,PRONABI,OPERATIVO,2021,3
2025,JULIO,200101,PIURA,PIURA,PIURA,TRIMOTO,UNIDAD ESPECIALIZADA,OTROS,PRONABI,OPERATIVO,2016,1
2025,JULIO,40125,AREQUIPA,AREQUIPA,VITOR,CAMIONETA,COMISARIA BASICA,CAMIONETA,COMPRA DIRECTA,OPERATIVO,2016,1
2025,JULIO,150106,LIMA METROPOLITANA,LIMA,CARABAYLLO,MOTOCICLETA,UNIDAD ESPECIALIZADA,MOTOCICLETA,DONACION,INOPERATIVO IRRECUPERABLE,2012,1
2025,JULIO,90306,HUANCAVELICA,ANGARAES,CONGALLA,CAMIONETA,COMISARIA BASICA,CAMIONETA,OTROS,OPERATIVO,2020,1
2025,JULIO,50509,AYACUCHO,LA MAR,SAMUGARI,MOTOCICLETA,UNIDAD ESPECIALIZADA,MOTOCICLETA,COMPRA DIRECTA,OPERATIVO,2024,2
2025,JULIO,230101,TACNA,TACNA,TACNA,MOTOACUATICA,UNIDAD ESPECIALIZADA,OTROS,COMPRA DIRECTA,OPERATIVO,2018,6
2025,JULIO,150107,LIMA METROPOLITANA,LIMA,CHACLACAYO,MOTOCICLETA,COMISARIA BASICA,MOTOCICLETA,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,2017,1
2025,JULIO,200601,PIURA,SULLANA,SULLANA,CAMIONETA,UNIDAD ESPECIALIZADA,CAMIONETA,DONACION,OPERATIVO,2024,10
2025,JULIO,200101,PIURA,PIURA,PIURA,CAMIONETA,UNIDAD ADMINISTRATIVA,CAMIONETA,OFECOD,INOPERATIVO IRRECUPERABLE,1988,1
2025,JULIO,130101,LA LIBERTAD,TRUJILLO,TRUJILLO,AUTO,UNIDAD ESPECIALIZADA,AUTO,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,2008,1
2025,JULIO,130107,LA LIBERTAD,TRUJILLO,MOCHE,AUTO,UNIDAD ADMINISTRATIVA,AUTO,OFECOD,INOPERATIVO IRRECUPERABLE,1990,1
2025,JULIO,211103,PUNO,SAN ROMAN,CABANILLAS,CAMIONETA,COMISARIA BASICA,CAMIONETA,COMPRA DIRECTA,OPERATIVO,2016,3
2025,JULIO,250101,UCAYALI,CORONEL PORTILLO,CALLERIA,MOTOR F/B,UNIDAD ESPECIALIZADA,OTROS,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,1995,1
2025,JULIO,170101,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,CAMIONETA,UNIDAD ADMINISTRATIVA,CAMIONETA,COMPRA DIRECTA,INOPERATIVO IRRECUPERABLE,2000,2
2025,JULIO,140105,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,MOTOCICLETA,COMISARIA BASICA,MOTOCICLETA,COMPRA DIRECTA,INOPERATIVO IRRECUPERABLE,2017,4
2025,JULIO,200101,PIURA,PIURA,PIURA,CAMION,UNIDAD ESPECIALIZADA,OTROS,PRONABI,OPERATIVO,2015,1
2025,JULIO,40105,AREQUIPA,AREQUIPA,CHARACATO,CAMIONETA,COMISARIA BASICA,CAMIONETA,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,2016,1
2025,JULIO,190107,PASCO,PASCO,PAUCARTAMBO,CAMIONETA,COMISARIA BASICA,CAMIONETA,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,2012,1
2025,JULIO,150115,LIMA METROPOLITANA,LIMA,LA VICTORIA,MOTOCICLETA,UNIDAD ESPECIALIZADA,MOTOCICLETA,COMPRA DIRECTA,OPERATIVO,2021,15
2025,JULIO,240101,TUMBES,TUMBES,TUMBES,PORTA TROPAS,UNIDAD ESPECIALIZADA,OTROS,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,1988,1
