ubigeo,dpto_hecho_new,prov_hecho,dist_hecho,indicador,valor
010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,vehiculos_operativos,0
010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,comisarias,0
010120,AMAZONAS,CHACHAPOYAS,SOLOCO,denuncias_2024_2026,12
010120,AMAZONAS,CHACHAPOYAS,SOLOCO,vehiculos_pnp,0
010120,AMAZONAS,CHACHAPOYAS,SOLOCO,vehiculos_operativos,0
010120,AMAZONAS,CHACHAPOYAS,SOLOCO,comisarias,0
010121,AMAZONAS,CHACHAPOYAS,SONCHE,denuncias_2024_2026,4
010121,AMAZONAS,CHACHAPOYAS,SONCHE,vehiculos_pnp,0
010121,AMAZONAS,CHACHAPOYAS,SONCHE,vehiculos_operativos,0
010121,AMAZONAS,CHACHAPOYAS,SONCHE,comisarias,0
010201,AMAZONAS,BAGUA,BAGUA,denuncias_2024_2026,2711
010201,AMAZONAS,BAGUA,BAGUA,vehiculos_pnp,10
010201,AMAZONAS,BAGUA,BAGUA,vehiculos_operativos,6
010201,AMAZONAS,BAGUA,BAGUA,comisarias,1
010202,AMAZONAS,BAGUA,ARAMANGO,denuncias_2024_2026,166
010202,AMAZONAS,BAGUA,ARAMANGO,vehiculos_pnp,2
010202,AMAZONAS,BAGUA,ARAMANGO,vehiculos_operativos,1
010202,AMAZONAS,BAGUA,ARAMANGO,comisarias,2
010203,AMAZONAS,BAGUA,COPALLIN,denuncias_2024_2026,89
010203,AMAZONAS,BAGUA,COPALLIN,vehiculos_pnp,2
010203,AMAZONAS,BAGUA,COPALLIN,vehiculos_operativos,1
010203,AMAZONAS,BAGUA,COPALLIN,comisarias,1
010204,AMAZONAS,BAGUA,EL PARCO,denuncias_2024_2026,15
010204,AMAZONAS,BAGUA,EL PARCO,vehiculos_pnp,0
010204,AMAZONAS,BAGUA,EL PARCO,vehiculos_operativos,0
010204,AMAZONAS,BAGUA,EL PARCO,comisarias,0
010205,AMAZONAS,BAGUA,IMAZA,denuncias_2024_2026,261
010205,AMAZONAS,BAGUA,IMAZA,vehiculos_pnp,1
010205,AMAZONAS,BAGUA,IMAZA,vehiculos_operativos,1
010205,AMAZONAS,BAGUA,IMAZA,comisarias,2
010206,AMAZONAS,BAGUA,LA PECA,denuncias_2024_2026,300
010206,AMAZONAS,BAGUA,LA PECA,vehiculos_pnp,0
010206,AMAZONAS,BAGUA,LA PECA,vehiculos_operativos,0
010206,AMAZONAS,BAGUA,LA PECA,comisarias,1
