AÑO,MES,DEPENDENCIAS_GENERALES,DEPENDENCIAS,UNIDADES,DEPARTAMENTO,PROVINCIA,DISTRITO,SEXO,CATEGORIA_OFI_SUB,CATEGORIA_ARM_SERV,FUNCION,APT.PSICOSOMATICA,ESTUDIOS_ADICIONALES,PROFESION,ORIGINARIOS,EXTRANJERO,CLASIFICACION,CANTIDAD
2026,MARZO,COMANDO DE OPERACIONES POLICIALES,DIRECCION NACIONAL DE INVESTIGACION CRIMINAL,DIRECCION CONTRA LA CORRUPCION,HUÁNUCO,HUANUCO,AMARILIS,MASCULINO,SUB OFICIAL,ARMAS,OPE,APTO COD. 0,BACHILLER,DERECHO,CASTELLANO,MATERNO,OTRAS DEPENDENCIAS,3
2026,MARZO,COMANDANCIA GENERAL,DIRECCION DE PRESTACIONES DE SALUD,DIRECCION DE SANIDAD POLICIAL,LA LIBERTAD,TRUJILLO,TRUJILLO,FEMENINO,OFICIAL,SERVICIOS,ADM,APTO COD. 0,TÍTULO,ENFERMERÍA,CASTELLANO,MATERNO,OTRAS DEPENDENCIAS,1
2026,MARZO,COMANDO DE OPERACIONES POLICIALES,DIRECCION NACIONAL DE ORDEN Y SEGURIDAD,REGION POLICIAL LIMA CENTRO,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,MASCULINO,SUB OFICIAL,ARMAS,OPE,APTO COD. 0,TÍTULO,CONTABILIDAD,CASTELLANO,INGLÉS,COMISARÍAS BÁSICAS,1
2026,MARZO,COMANDO DE OPERACIONES POLICIALES,DIRECCION NACIONAL DE ORDEN Y SEGURIDAD,REGION POLICIAL PIURA,PIURA,PIURA,PIURA,FEMENINO,SUB OFICIAL,ARMAS,S/I,APTO COD. 0,SIN ESTUDIOS ADICIONALES,SIN ESTUDIOS ADICIONALES,CASTELLANO,MATERNO,OTRAS DEPENDENCIAS,1
2026,MARZO,COMANDO DE OPERACIONES POLICIALES,DIRECCION NACIONAL DE INVESTIGACION CRIMINAL,DIRECCION DE INVESTIGACION CRIMINAL,LIMA METROPOLITANA,LIMA,SANTA ANITA,MASCULINO,SUB OFICIAL,ARMAS,ADM,APTO COD. 0,SIN ESTUDIOS ADICIONALES,SIN ESTUDIOS ADICIONALES,CASTELLANO,MATERNO,OTRAS DEPENDENCIAS,1
2026,MARZO,COMANDO DE OPERACIONES POLICIALES,DIRECCION NACIONAL DE ORDEN Y SEGURIDAD,REGION POLICIAL CAJAMARCA,CAJAMARCA,JAEN,PUCARA,MASCULINO,SUB OFICIAL,ARMAS,OPE,APTO COD. 0,SIN ESTUDIOS ADICIONALES,SIN ESTUDIOS ADICIONALES,CASTELLANO,INGLÉS,COMISARÍAS BÁSICAS,1
2026,MARZO,COMANDO DE OPERACIONES POLICIALES,DIRECCION NACIONAL DE ORDEN Y SEGURIDAD,DIRECCION DE FAMILIA,CUSCO,CUSCO,WANCHAQ,MASCULINO,SUB OFICIAL,ARMAS,ADM,APTO COD. 0,SIN ESTUDIOS ADICIONALES,SIN ESTUDIOS ADICIONALES,CASTELLANO,MATERNO,COMISARÍAS ESPECIALIZADAS,4
2026,MARZO,INSPECTORIA GENERAL,DIRECCION DE INVESTIGACIONES,SECRETARIA,LIMA METROPOLITANA,LIMA,SURQUILLO,MASCULINO,OFICIAL,ARMAS,S/I,APTO COD. 0,MAESTRÍA,EDUCACIÓN,CASTELLANO,MATERNO,OTRAS DEPENDENCIAS,1
2026,MARZO,COMANDO DE OPERACIONES POLICIALES,DIRECCION NACIONAL DE ORDEN Y SEGURIDAD,REGION POLICIAL LA LIBERTAD,LA LIBERTAD,TRUJILLO,TRUJILLO,FEMENINO,SUB OFICIAL,ARMAS,ADM,APTO COD. 0,SIN ESTUDIOS ADICIONALES,SIN ESTUDIOS ADICIONALES,CASTELLANO,MATERNO,COMISARÍAS BÁSICAS,7
2026,MARZO,COMANDANCIA GENERAL,DIRECCION DE PRESTACIONES DE SALUD,DIRECCION DE SANIDAD POLICIAL,JUNÍN,CHANCHAMAYO,CHANCHAMAYO,FEMENINO,SUB OFICIAL,SERVICIOS,ADM,APTO COD. 0,SIN ESTUDIOS ADICIONALES,SIN ESTUDIOS ADICIONALES,CASTELLANO,MATERNO,OTRAS DEPENDENCIAS,1
