ID;Nº DE INGRESOS;DELITO GENERICO;DELITO ESPECÍFICO;SITUACION JURIDICA;EDAD;SEXO;PAIS;ESTADO CIVIL;GRADO DE INSTRUCCIÓN;OCUPACION GENERICO;OCUPACION ESPECIFICO;NOMBRE DEL PENAL;DEPARTAMENTO;OFICINA REGIONAL;MES;CONTINENTE
11;1;DELITOS CONTRA LA TRANQUILIDAD PUBLICA;ORGANIZACIÓN CRIMINAL;PROCESADO;31;MASCULINO;PERÚ;CASADO;SECUNDARIA COMP.;PROFESIONALES;PERSONAL DE LA FF.AA. Y FF.PP.;E.P. DE TUMBES;Tumbes;Norte - Chiclayo;JUNIO;América
12;1;DELITOS CONTRA EL PATRIMONIO;ROBO AGRAVADO;SENTENCIADO;21;MASCULINO;VENEZUELA;CONVIVIENTE;SECUNDARIA COMP.;OFICIOS;OTROS OFICIOS;E.P. DE TUMBES;Tumbes;Norte - Chiclayo;JUNIO;América
13;1;DELITOS CONTRA LA SEGURIDAD PUBLICA;PROMOCIÓN O FAVORECIMIENTO AL TRÁFICO ILÍCITO DE DROGAS;SENTENCIADO;41;MASCULINO;COLOMBIA;SOLTERO;SUPERIOR NO UNIV. COMP.;OFICIOS;COMERCIANTES;E.P. DE TUMBES;Tumbes;Norte - Chiclayo;JUNIO;América
14;2;DELITOS CONTRA EL PATRIMONIO;ROBO AGRAVADO;SENTENCIADO;28;MASCULINO;PERÚ;SOLTERO;SECUNDARIA INCOMP.;OFICIOS;CONDUCTORES DE VEHÍCULOS DE TRANSPORTES;E.P. DE TUMBES;Tumbes;Norte - Chiclayo;JUNIO;América
15;1;DELITOS CONTRA LA LIBERTAD;ACTOS CONTRA EL PUDOR;SENTENCIADO;63;MASCULINO;PERÚ;SOLTERO;SECUNDARIA INCOMP.;OFICIOS;OTROS OFICIOS;E.P. DE TUMBES;Tumbes;Norte - Chiclayo;JUNIO;América
16;1;DELITOS CONTRA LA VIDA EL CUERPO Y LA SALUD;HOMICIDIO SIMPLE;SENTENCIADO;21;MASCULINO;PERÚ;SOLTERO;SECUNDARIA INCOMP.;OFICIOS;OBREROS;E.P. DE TUMBES;Tumbes;Norte - Chiclayo;JUNIO;América
17;1;DELITOS CONTRA EL PATRIMONIO;HURTO AGRAVADO - GRADO TENTATIVA;PROCESADO;18;MASCULINO;PERÚ;CONVIVIENTE;SECUNDARIA INCOMP.;OFICIOS;OBREROS;E.P. DE TUMBES;Tumbes;Norte - Chiclayo;JUNIO;América
18;1;DELITOS CONTRA EL PATRIMONIO;HURTO AGRAVADO;SENTENCIADO;31;MASCULINO;PERÚ;CONVIVIENTE;SECUNDARIA INCOMP.;OFICIOS;ARTESANOS Y OPERARIOS;E.P. DE TUMBES;Tumbes;Norte - Chiclayo;JUNIO;América
19;1;DELITOS CONTRA LA SEGURIDAD PUBLICA;MICROCOMERCIALIZACIÓN O MICROPRODUCCIÓN;SENTENCIADO;48;MASCULINO;PERÚ;SOLTERO;PRIMARIA INCOMP.;OFICIOS;OTROS OFICIOS;E.P. DE TUMBES;Tumbes;Norte - Chiclayo;JUNIO;América
20;1;DELITOS CONTRA LA LIBERTAD;VIOLACIÓN SEXUAL;SENTENCIADO;50;MASCULINO;PERÚ;CONVIVIENTE;SECUNDARIA COMP.;OFICIOS;CONDUCTORES DE VEHÍCULOS DE TRANSPORTES;E.P. DE TUMBES;Tumbes;Norte - Chiclayo;JUNIO;América
21;1;DELITOS CONTRA EL PATRIMONIO;ROBO AGRAVADO;PROCESADO;39;MASCULINO;PERÚ;CONVIVIENTE;SECUNDARIA INCOMP.;OFICIOS;OBREROS;E.P. DE TUMBES;Tumbes;Norte - Chiclayo;JUNIO;América
22;4;DELITOS CONTRA LA SEGURIDAD PUBLICA;PROMOCIÓN O FAVORECIMIENTO AL TRÁFICO ILÍCITO DE DROGAS;PROCESADO;59;MASCULINO;PERÚ;CONVIVIENTE;SECUNDARIA COMP.;OFICIOS;TRABAJADORES AGRÍCOLAS Y GANADEROS;E.P. DE TUMBES;Tumbes;Norte - Chiclayo;JUNIO;América
23;1;DELITOS CONTRA LA FAMILIA;INCUMPLIMIENTO DE LA OBLIGACIÓN ALIMENTARIA;PROCESADO;34;MASCULINO;PERÚ;CONVIVIENTE;SUPERIOR NO UNIV. COMP.;OFICIOS;OBREROS;E.P. DE TUMBES;Tumbes;Norte - Chiclayo;JUNIO;América
24;1;DELITOS CONTRA LA LIBERTAD;VIOLACIÓN SEXUAL DE MENOR DE EDAD;SENTENCIADO;32;MASCULINO;PERÚ;SOLTERO;SUPERIOR UNIV. INCOMP.;ESTUDIANTES;ESTUDIANTES;E.P. DE TUMBES;Tumbes;Norte - Chiclayo;JUNIO;América
25;1;DELITOS CONTRA LA LIBERTAD;VIOLACIÓN SEXUAL;SENTENCIADO;39;MASCULINO;PERÚ;CONVIVIENTE;SECUNDARIA COMP.;OFICIOS;CONDUCTORES DE VEHÍCULOS DE TRANSPORTES;E.P. DE TUMBES;Tumbes;Norte - Chiclayo;JUNIO;América
