id,edad,ingresos,sexo,delito_generico,situacion_juridica,departamento,nombre_del_penal,cluster_kmeans
53,26,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Procesado,Tumbes,E.P. DE TUMBES,1
54,41,1,Masculino,DELITOS CONTRA LA VIDA EL CUERPO Y LA SALUD,Sentenciado,Tumbes,E.P. DE TUMBES,1
55,32,2,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,1
56,66,1,Masculino,DELITOS CONTRA LA VIDA EL CUERPO Y LA SALUD,Sentenciado,Tumbes,E.P. DE TUMBES,4
57,20,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Procesado,Tumbes,E.P. DE TUMBES,1
58,25,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Procesado,Tumbes,E.P. DE TUMBES,1
59,31,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,1
60,39,3,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,3
61,39,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,1
62,32,3,Masculino,DELITOS CONTRA EL PATRIMONIO,Procesado,Tumbes,E.P. DE TUMBES,3
63,32,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,1
64,45,1,Masculino,DELITOS CONTRA LA LIBERTAD,Sentenciado,Tumbes,E.P. DE TUMBES,4
65,41,1,Masculino,DELITOS CONTRA LA LIBERTAD,Sentenciado,Tumbes,E.P. DE TUMBES,1
66,40,1,Masculino,DELITOS CONTRA LA LIBERTAD,Procesado,Tumbes,E.P. DE TUMBES,1
67,65,1,Masculino,DELITOS CONTRA LA ADMINISTRACION PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,4
68,22,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Procesado,Tumbes,E.P. DE TUMBES,1
69,41,2,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,3
70,39,1,Masculino,DELITOS CONTRA LA LIBERTAD,Sentenciado,Tumbes,E.P. DE TUMBES,1
71,48,2,Masculino,DELITOS CONTRA LA VIDA EL CUERPO Y LA SALUD,Sentenciado,Tumbes,E.P. DE TUMBES,3
72,36,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,1
73,30,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,1
74,23,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,1
75,23,3,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,3
76,32,2,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,1
77,32,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,1
78,29,3,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,3
79,51,2,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,4
80,25,1,Masculino,DELITOS CONTRA LA LIBERTAD,Sentenciado,Tumbes,E.P. DE TUMBES,1
81,29,2,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,1
82,43,2,Masculino,DELITOS CONTRA LA TRANQUILIDAD PUBLICA,Procesado,Tumbes,E.P. DE TUMBES,3
83,26,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Procesado,Tumbes,E.P. DE TUMBES,1
84,28,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,1
85,39,2,Masculino,DELITOS CONTRA EL PATRIMONIO,Procesado,Tumbes,E.P. DE TUMBES,3
86,30,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Procesado,Tumbes,E.P. DE TUMBES,1
87,35,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Procesado,Tumbes,E.P. DE TUMBES,1
88,49,2,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,3
89,38,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,1
90,36,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,1
91,30,2,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,1
92,32,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,1
93,22,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,1
94,48,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,4
95,43,2,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,3
96,31,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Procesado,Tumbes,E.P. DE TUMBES,1
97,32,2,Masculino,DELITOS CONTRA LA VIDA EL CUERPO Y LA SALUD,Sentenciado,Tumbes,E.P. DE TUMBES,1
98,30,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,1
99,27,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,1
100,39,2,Masculino,DELITOS CONTRA LA LIBERTAD,Sentenciado,Tumbes,E.P. DE TUMBES,3
101,31,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,1
102,28,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,1
103,30,1,Masculino,DELITOS CONTRA LA LIBERTAD,Procesado,Tumbes,E.P. DE TUMBES,1
104,31,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,1
105,26,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,1
106,39,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Procesado,Tumbes,E.P. DE TUMBES,1
107,44,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,4
108,35,2,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,3
109,35,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Procesado,Tumbes,E.P. DE TUMBES,1
110,33,1,Masculino,DELITOS CONTRA LA VIDA EL CUERPO Y LA SALUD,Sentenciado,Tumbes,E.P. DE TUMBES,1
111,25,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Procesado,Tumbes,E.P. DE TUMBES,1
112,29,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,1
113,34,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,1
114,47,2,Masculino,DELITOS CONTRA LA VIDA EL CUERPO Y LA SALUD,Sentenciado,Tumbes,E.P. DE TUMBES,3
115,35,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,1
116,25,1,Masculino,DELITOS CONTRA LA FAMILIA,Sentenciado,Tumbes,E.P. DE TUMBES,1
117,21,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Procesado,Tumbes,E.P. DE TUMBES,1
118,30,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Procesado,Tumbes,E.P. DE TUMBES,1
119,53,2,Masculino,DELITOS CONTRA LA LIBERTAD,Sentenciado,Tumbes,E.P. DE TUMBES,4
120,33,3,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,3
121,34,2,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,3
122,28,2,Masculino,DELITOS CONTRA EL PATRIMONIO,Procesado,Tumbes,E.P. DE TUMBES,1
123,27,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,1
124,35,1,Masculino,DELITOS CONTRA EL ORDEN FINANCIERO Y MONETARIO,Sentenciado,Tumbes,E.P. DE TUMBES,1
125,33,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,1
126,46,1,Masculino,DELITOS CONTRA LA VIDA EL CUERPO Y LA SALUD,Sentenciado,Tumbes,E.P. DE TUMBES,4
127,35,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,1
128,51,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Procesado,Tumbes,E.P. DE TUMBES,4
129,36,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,1
130,32,1,Masculino,DELITOS CONTRA LA VIDA EL CUERPO Y LA SALUD,Sentenciado,Tumbes,E.P. DE TUMBES,1
131,28,1,Masculino,DELITOS CONTRA LA TRANQUILIDAD PUBLICA,Procesado,Tumbes,E.P. DE TUMBES,1
132,25,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,1
133,32,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,1
134,32,3,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,3
135,28,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Procesado,Tumbes,E.P. DE TUMBES,1
136,40,2,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,3
137,28,2,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,1
138,31,1,Masculino,DELITOS CONTRA LA TRANQUILIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,1
139,30,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,1
140,51,1,Masculino,DELITOS CONTRA LA TRANQUILIDAD PUBLICA,Procesado,Tumbes,E.P. DE TUMBES,4
141,32,1,Masculino,DELITOS CONTRA EL PATRIMONIO,Sentenciado,Tumbes,E.P. DE TUMBES,1
142,32,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,1
143,21,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,1
144,36,3,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,3
145,34,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,1
146,39,1,Masculino,DELITOS CONTRA LA SEGURIDAD PUBLICA,Sentenciado,Tumbes,E.P. DE TUMBES,1
